,mass,year,lat,lon
431,3000.0,1857.0,47.35,21.3
433,89.0,1822.0,27.08333,78.33333
434,230.0,1838.0,27.25,79.96667
438,350.0,1890.0,12.38333,78.51667
439,577.0,1858.0,45.13333,21.66667
441,4500.0,1879.0,17.83333,73.98333
447,400.0,1897.0,32.08333,76.3
451,3000.0,1840.0,47.21667,81.01667
466,5000.0,1874.0,48.4,-3.3
467,80000.0,1869.0,48.11667,-3.08333
468,135000.0,1850.0,38.98333,141.61667
469,13600.0,1873.0,29.53333,72.3
472,450.0,1860.0,26.95,77.88333
473,100.0,1867.0,28.01667,75.81667
481,195.0,1809.0,55.0,34.0
484,140.0,1844.0,54.66667,-7.66667
489,3250.0,1843.0,51.6,10.8
490,500000.0,1866.0,48.9,22.4
496,16500.0,1869.0,49.32694,7.46472
497,2440.0,1829.0,54.03333,40.9
503,6000.0,1811.0,50.75,33.5
508,5.0,1860.0,29.68333,78.38333
512,45000.0,1886.0,32.03333,130.63333
513,2800.0,1879.0,47.08333,1.75
514,399.0,1878.0,20.66667,-101.28333
517,3833.0,1871.0,44.28333,5.58333
519,37000.0,1803.0,48.76667,0.63333
521,372.0,1887.0,24.45,78.56667
522,51700.0,1872.0,47.7,1.06667
523,7000.0,1897.0,43.75,5.11667
528,1060.0,1830.0,51.9,-1.11667
530,3000.0,1845.0,47.16667,0.43333
531,780.0,1845.0,48.53333,-0.86667
536,700.0,1900.0,52.26667,32.85
537,125.0,1857.0,48.35,3.25
538,2000.0,1896.0,50.36667,4.73333
541,50000.0,1813.0,52.56667,-8.78333
542,1862.0,1854.0,52.75,12.9
544,12800.0,1808.0,50.2,14.85
545,491.0,1839.0,37.91667,-92.08333
546,5213.0,1820.0,56.0,26.43333
547,1000.0,1868.0,29.53333,71.8
550,25.0,1894.0,38.0,-0.83333
556,340.0,1869.0,32.03333,-84.76667
558,11000.0,1889.0,56.21667,13.03333
559,885.0,1813.0,61.2,27.7
563,1500.0,1836.0,-5.2,-36.66667
568,400.0,1896.0,40.41667,-3.71667
570,5000.0,1899.0,37.86667,27.51667
580,1700.0,1863.0,23.05,86.7
581,50.0,1843.0,20.96667,76.1
586,340.0,1898.0,42.71667,-99.38333
590,28400.0,1847.0,41.9,-91.6
592,3000.0,1848.0,44.5,0.15
595,1000.0,1836.0,45.36667,1.86667
597,1600.0,1803.0,48.13333,12.61667
599,220.0,1801.0,-20.0,57.0
601,4000.0,1885.0,24.68333,-101.68333
605,22.0,1861.0,29.01667,77.8
607,10500.0,1862.0,53.18333,13.15
609,4000.0,1878.0,55.05,12.06667
613,870.0,1897.0,50.58333,11.1
615,22700.0,1852.0,46.5,25.73333
616,350.0,1827.0,25.9,83.61667
618,1600.0,1881.0,54.56667,-1.16667
620,8000.0,1889.0,48.06667,30.96667
623,10000.0,1842.0,46.18333,16.1
627,42.0,1826.0,37.28333,14.7
631,5800.0,1890.0,56.66667,23.0
632,100.7,1898.0,61.73333,5.93333
633,300000.0,1882.0,46.8,24.03333
636,144000.0,1858.0,38.11667,-1.16667
639,8600.0,1849.0,35.25,-80.5
641,3130.0,1846.0,43.26667,13.35
643,500.0,1838.0,47.63333,1.58333
646,3520.0,1810.0,52.45,-8.33333
648,70.0,1808.0,28.78333,78.83333
650,1300.0,1875.0,44.6,5.13333
652,1500.0,1868.0,26.83333,77.33333
653,9150.0,1868.0,45.2,8.5
658,4400.0,1865.0,12.63333,77.01667
667,20.0,1875.0,26.98333,78.21667
668,6100.0,1895.0,49.16667,19.5
671,4500.0,1886.0,12.28333,79.2
673,7500.0,1825.0,38.41667,-77.16667
681,105.0,1890.0,21.25,83.66667
683,4500.0,1870.0,18.68333,83.48333
685,10250.0,1864.0,56.5,21.5
687,230000.0,1860.0,40.0,-81.76667
690,1393.0,1883.0,-7.45,111.41667
691,37500.0,1900.0,13.85,-4.38333
699,467.0,1897.0,34.2,131.56667
701,2300.0,1823.0,44.08333,-69.48333
704,4000.0,1879.0,-32.36667,-59.83333
708,1900.0,1886.0,54.81667,46.0
713,5000.0,1851.0,41.63333,0.75
717,500000.0,1887.0,57.78333,55.26667
719,6000.0,1855.0,58.5,23.0
720,3750.0,1900.0,47.88333,22.03333
722,16250.0,1857.0,46.06667,23.58333
727,12000.0,1834.0,50.83333,25.5
733,14000.0,1864.0,43.88333,1.38333
735,6000.0,1868.0,47.11667,6.15
737,3400.0,1872.0,42.13333,12.93333
739,6510.0,1867.0,38.4,140.35
740,840.0,1896.0,38.6,-95.21667
745,121.5,1900.0,-18.0,16.0
746,205.0,1856.0,43.4,-5.86667
748,3400.0,1881.0,21.05,-99.3
756,10500.0,1859.0,15.08333,120.7
762,77600.0,1857.0,9.23333,78.35
771,40000.0,1826.0,48.53333,35.98333
772,2000.0,1882.0,52.03333,43.0
778,165.0,1899.0,-10.66667,35.5
780,2.0,1830.0,56.4,-3.43333
784,1800.0,1855.0,35.3,-86.63333
787,500.0,1887.0,11.25,108.58333
792,23250.0,1863.0,58.66667,25.73333
794,37.0,1881.0,-32.86667,18.71667
795,842.0,1882.0,25.8,88.45
796,1161.0,1884.0,29.58333,76.0
801,96.0,1868.0,11.58333,104.91667
802,3000.0,1819.0,50.93333,12.13333
803,350.0,1866.0,26.71667,82.66667
811,900.0,1893.0,39.11667,-83.85
813,560.0,1863.0,23.36667,75.18333
814,250000.0,1868.0,52.76667,21.26667
815,100.0,1811.0,13.33333,78.95
820,6045.0,1857.0,17.76667,95.18333
821,10750.0,1898.0,39.0,-0.66667
823,65.0,1851.0,46.6,0.25
827,9000.0,1878.0,52.98333,37.03333
832,300.0,1899.0,19.86667,-100.81667
837,910.0,1880.0,52.2,17.98333
841,1000.0,1824.0,44.76667,11.28333
850,1800.0,1828.0,37.46667,-77.5
853,340.0,1876.0,41.08333,-86.28333
854,1641.0,1895.0,-23.38333,150.51667
855,400.0,1871.0,42.3,0.55
858,3500.0,1876.0,52.76667,-2.51667
863,1250.0,1855.0,27.43333,82.08333
877,400.0,1873.0,-29.2,-51.86667
884,4000.0,1868.0,43.15,-0.85
885,2500.0,1894.0,47.21667,29.86667
890,8000.0,1846.0,48.11667,10.46667
891,5400.0,1871.0,44.36667,-69.2
893,6930.0,1853.0,26.75,84.78333
