,mass,year,lat,lon
37709,244500.0,1888.0,37.96667,-90.31667
37716,43500.0,1869.0,38.21667,-79.05
37720,679.5,1900.0,40.6,-103.18333
37746,1000.0,1890.0,34.2,-86.48333
37767,1500.0,1899.0,34.16667,-115.91667
37779,150.0,1854.0,50.88333,10.51667
37797,510000.0,1864.0,27.71667,-0.25
37886,174000.0,1885.0,34.91667,135.96667
37902,27000.0,1853.0,36.43333,-83.75
37912,1980.0,1891.0,-27.33333,-69.8
38000,218.0,1888.0,33.46667,-82.48333
38006,62100.0,1881.0,-25.7,143.05
38007,5500.0,1888.0,44.75,-77.58333
38053,43000.0,1859.0,32.23333,-88.2
38054,1500.0,1863.0,42.88333,-73.6
38055,11800.0,1886.0,39.08333,-95.11667
38062,22000.0,1891.0,55.88333,89.1
38066,175400.0,1889.0,30.3,-97.7
38067,5900.0,1889.0,30.55556,-97.95278
38068,505000.0,1858.0,43.36667,-88.13333
38077,975000.0,1850.0,31.85,-110.96667
38158,6800.0,1853.0,34.75,-84.0
38200,3828000.0,1861.0,-25.75,-70.5
38212,70.0,1876.0,48.63333,34.36667
38213,18000.0,1854.0,54.76667,113.98333
38217,2950.0,1860.0,-31.7,23.75
38225,14000.0,1890.0,47.91667,4.35
38231,2550000.0,1863.0,21.49972,50.47222
38232,50000.0,1873.0,39.33333,-98.16667
38236,6000.0,1863.0,-41.31667,175.13333
38240,13600.0,1887.0,36.63333,-83.83333
38241,74800.0,1832.0,34.0,-87.16667
38271,38800.0,1898.0,34.25,-112.75
38280,8200.0,1888.0,43.01667,-79.21667
38292,1750.0,1890.0,35.0,-94.0
38299,145000.0,1836.0,34.06667,-98.91667
38330,50000.0,1881.0,-28.5,27.0
38378,22700.0,1858.0,40.76667,-81.95
45662,421000.0,1825.0,17.53333,-97.35
45663,3290.0,1875.0,-32.45,135.55
45680,835.0,1878.0,40.75,-97.5
45684,3800000.0,1884.0,-32.1,117.71667
